source,target,value
agile,c,1
agile,cpp,1
agile,github,1
agile,jira,1
agile,kanban,1
agile,model_deployment,1
agile,reliability,1
agile,rtos,1
c,cpp,1
c,github,1
c,jira,1
c,kanban,1
c,model_deployment,1
c,reliability,1
c,rtos,1
cpp,github,1
cpp,jira,1
cpp,kanban,1
cpp,model_deployment,1
cpp,reliability,1
cpp,rtos,1
github,jira,1
github,kanban,1
github,model_deployment,1
github,reliability,1
github,rtos,1
jira,kanban,1
jira,model_deployment,1
jira,reliability,1
jira,rtos,1
kanban,model_deployment,1
kanban,reliability,1
kanban,rtos,1
model_deployment,reliability,1
model_deployment,rtos,1
reliability,rtos,1
